variable_name,description,data_type,source,example_value,business_meaning,use_in_model_or_analysis
case_id,Unique identifier for each loan application,String,BPIC12 / BPIC17 case attribute,Application_652823328,Primary key linking events to cases,Joining events to case-level features; deduplication.
activity_name,Name of the activity performed,Categorical (24 levels),BPIC event field 'concept:name',A_Complete,Identifies which step of the workflow occurred,Mapped to stages via activity_to_stage_mapping.csv; defines Stage-1 inclusion.
timestamp,Datetime the activity was completed,Datetime,BPIC event field 'time:timestamp',2016-03-12 09:14:22,Anchors all duration and SLA computations,"Computes processing time, SLA breach flag, month index for ITS."
lifecycle_transition,Lifecycle phase of the activity,"Categorical (start, complete, schedule, etc.)",BPIC event field 'lifecycle:transition',complete,Distinguishes when a step started vs ended,Filtered to 'complete' for duration calculations.
resource,Identifier for the human or system processor,String,BPIC event field 'org:resource',User_104,Indicates capacity attribution at the event,Constructs resource-workload feature; resource-level audit.
requested_amount,Loan amount requested by applicant,Numeric (EUR),BPIC case attribute 'AMOUNT_REQ',15000,Credit and operational risk indicator,"Log-transformed feature for RQ1, RQ2; segmentation in EDA."
submission_channel,Channel through which the application originated,"Categorical (branch, web, partner)",Derived from resource and event sequence,web,Identifies origination pathway,One-hot encoded feature for RQ1 and RQ2.
product_type,Loan product family,"Categorical (consumer, mortgage, SME)",Derived from BPIC documentation and amount band,consumer,Operational complexity proxy,Feature for RQ1 and RQ2; subgroup robustness.
product_complexity_index,Ordinal complexity score (1–5),Numeric (ordinal),Engineered from product_type and amount,3,Captures handling complexity in a single covariate,Feature for RQ1 turnaround time model.
completeness_flag,Whether the application reached A_Complete without entering A_Incomplete,Binary (0/1),Derived from event sequence,1,Quality of submission at intake,Feature for RQ1 and RQ2; key intervention lever.
exception_flag,Whether the case experienced an A_Incomplete event during Stage 1,Binary (0/1),Derived from event sequence,0,Stage-1 exception indicator,Outcome component for RQ2 risk flag; KPI for RQ1 and RQ3.
rework_indicator,Number of times the case visited A_Incomplete,Integer,Derived from event sequence,0,Severity of intake rework,Feature for RQ1; descriptive for EDA.
stage1_processing_time,Duration from A_Create Application to A_Validating (hours),Numeric,Derived from timestamps,12.4,Stage-1 turnaround time per case,Outcome for RQ1; aggregated to KPI for RQ3.
sla_breach_flag,Whether stage1_processing_time exceeds the pooled 75th percentile,Binary (0/1),Derived using stage-level threshold,0,Operational-target adherence,Outcome component for RQ2 risk flag; KPI for RQ3.
risk_flag,Composite outcome: 1 if exception_flag=1 OR any sla_breach in case else 0,Binary (0/1),Engineered,1,Composite Stage-1 risk indicator,Target for RQ2 logistic-regression classifier.
customer_segment,Segment derived from amount band and product type,Categorical (4 levels),Engineered,mass-affluent,Customer-mix descriptor,Feature for RQ1 and RQ2; subgroup analysis.
recent_exception_rate,Resource-level exception rate over the trailing 7 days,Numeric (proportion),Engineered from event sequence,0.18,Capacity-strain proxy,Feature for RQ1; sensitivity in RQ2.
resource_workload,Number of active cases assigned to the resource at the case timestamp,Integer,Engineered from event sequence,11,Operational capacity strain indicator,Feature for RQ1 and RQ2.
era,Pre- or post-system-change indicator,Binary (0/1),"Engineered (0 = BPIC12, 1 = BPIC17)",1,Identifies the natural-experiment period,Used in RQ3 ITS as the change indicator D_t.
month_index,Sequential month index across the combined panel,Integer (1-19),Engineered,9,Time variable for the ITS regression,Used in RQ3 ITS as the time covariate t.
approval_verification_outcome,Result of the W_Validate application activity at end of Stage 1,"Categorical (validated, returned-for-rework, escalated)",Derived from terminal Stage-1 event,validated,Stage-1 verification disposition; closes the intake stage,Auxiliary outcome for Stage-1 quality monitoring; not used as a feature in RQ2.
risk_category,Discrete band derived from the model's continuous risk score,"Categorical (low, medium, high)","Engineered from RQ2 model output (P<0.30, 0.30-0.65, >=0.65)",medium,Operational routing label used by the workflow router,Output variable of the RQ2 classifier; consumed by the deployment scenario.
final_transaction_outcome,Terminal application disposition observed at end of case,"Categorical (A_Pending, A_Cancelled, A_Denied, O_Accepted, O_Refused, O_Cancelled)",BPIC case attribute (terminal activity),A_Pending,End-state of the loan application; downstream of Stage 1,Documented for completeness; gold-standard label for risk-flag construction.
